,0
0,bd9d3e4a
1,3d40579c
2,3aef0dd5
3,3d7bf523
4,3dc249dc
5,bdd13df2
6,bdd3f371
7,3cbeeee6
8,3dd6692c
9,3d838ce4
10,3c72806d
11,3dca0347
12,3da2682c
13,bd4dbb6b
14,be027a31
15,3d075386
16,3c49a264
17,3cd9f150
18,3d06d62b
19,3de107a0
20,3dcf0307
21,3d810d10
22,3d3f5ec0
23,bd797b4d
24,3d889cc7
25,3dd1ffe2
26,3db892a5
27,bbf294f5
28,3e25afe7
29,3dc59c4d
30,3d8932ca
31,bd2750d3
32,3d40d7cc
33,3d323ef0
34,3e57ca44
35,3d9a0de7
36,3d9e8668
37,3e2d44ab
38,3cdb0cf5
39,3dcb1c28
40,3d0f643b
41,3da78a40
42,bd83503f
43,3de3bd19
44,3e1c1f2b
45,3df4d1b2
46,3ccc6cca
47,3df09e3f
48,3cbb4f56
49,bc482811
50,3cc97aff
51,bd1e1ac2
52,bc51928e
53,bc988be0
54,bccc73f7
55,bdc6a69b
56,3d0287d0
57,3e276ebe
58,bc9a4979
59,3d1081bc
60,bb2612f1
61,3e0ccdb5
62,3e018bc7
63,3e0898b0
