,0,1,2,3,4,5,6,7,8,9
0,3e6776eb,bee646fc,3e17774e,3e218957,bf967350,3eb5b81c,be7fa4b1,3d7cece9,3cf2b1a6,3e979bc4
1,3eba6a68,3e194f58,3d9a36ae,3de5d2f1,bf08f9ca,3e0ecbb6,3e3b3790,3dc6063b,bdeecbc0,3dff78f3
2,3e0e095e,bedfaf1a,bdab1b6e,beb1ba5b,be62e370,bdda5714,3ece72bc,bee0f384,3dee8a96,befeaa3c
3,bedb577a,3dfccc5f,bea73d19,3e967600,be7fe50d,3e6ce70d,bee307d7,bdb47adc,3c4ca0dd,3e9d3e9f
4,bf25b136,be04640f,3f36896f,beb03c45,bf12e858,be31d0f7,3dd5c668,3eb3f6e5,be801f3b,bef894d9
5,3e7d4610,bd2356a0,3e484644,3c89fe72,bbd87431,bde3acbc,3e39bb6f,bf1229f1,3de9d6b6,3e979955
6,3e6c9699,3e7e2f0e,bf3de293,be1bba74,3e98c099,3e50ff96,3f212c4e,3e80989b,bec124c6,befbd32d
7,3e098a90,3ec58a38,bd4a70c3,be09a523,3e2211a1,bebbcd8f,be7b9105,beb296dd,3ea00078,be57aaa2
8,be9b4fb0,3e9b2e44,3ec239e8,bf2e07b0,3c763b7f,bbcbfc09,3dc3c340,3ec43a5d,3d743a9c,bec9b460
9,be8ff25e,3dddd6d5,3cf2a83a,3e79e41d,be698fdc,bead0d50,3e2f244c,3c1fcdfa,bdd48679,bf3a17b5
10,3e7d81fa,3e8be03d,bdf84ffb,3e80f6e9,3ed02a10,be648ea9,bdd868a5,3e114c70,bee7a107,3df086fd
11,3e1a06ac,be0f78f8,bf30caf8,beecf850,bf0f1640,3eb5d3bc,3e83e904,bed56e4f,bd7f5a7a,3ecfa0b2
12,bd752fd6,be0596d6,3dba0710,3e9c3ed9,bf37988e,3dd74cbf,bf77e4e5,3e90cd7a,beaf2ea0,bdb8e00e
13,3ebf8243,bb0bc2c0,bdbefb9a,bd189555,bf42e61f,bee4953e,3e11d07b,3d7f9b99,3ed7b9c1,3e23a374
14,3deb8634,be95e703,3e914a9a,3bf924c3,be865d97,bec93c61,bee1c62b,3ebf9820,3e80dd18,be3cf0be
15,bd429400,3e2f9556,3e746a25,3e26fa4c,bd67ab3a,3e730549,3e3ef383,3d968718,3eb30985,bf1ac855
16,be55bf88,3eb4beb5,3e19f749,3cdcb487,bcaa4e0c,bef7b299,3e2bc94f,beccbed7,3e576b02,3e54cdc1
17,3e816bf5,be6599d6,bda1d439,3e16deb3,be4c5bce,beafb3cf,beef278a,be13cbca,be8e8988,3eb4abee
18,b903eeac,bf1e250f,be7f27f9,3eb4bc17,bdb281db,3e11fba9,bec36d61,3ddfc34c,3d37e5d0,be8210a0
19,bd8c5501,3f0dd288,3e7a2edf,be8628f0,bd9a33c0,3ea589f7,bebdc26a,bd0f2e95,bf7017f5,3e529f18
20,3d6d6e40,3e417244,3e05a3fd,be8b6ff5,3ec74b45,b8c6b0cc,bec3c218,3ee67486,bf83381b,3ed2f46c
21,3d4a5d33,3eb550e5,bcdd39dc,bedc999a,be3bc688,be06d885,3ebf7d0b,bee60641,3e7b61b8,3e7e4394
22,bf3b8600,be8751e3,be91032e,be3f842b,bf3fee60,3f7b53ee,3da4b7e7,3e6973db,3e3e6dd1,3d094a72
23,3eb03776,3e9aa135,bd8abcde,bdd8c53e,3e814569,beb15a8a,3e94800d,be0877e8,3e2d3711,3ea1a9cb
24,3eb3dbbc,be5df3c8,becdb47b,3e17eea1,bd8e56cf,3ce7a6ad,3e9850ab,3ed0cc50,bf10af03,bcdd6f90
25,bbed663e,be513403,be09314c,bf1a4707,3ea8b1e9,bf63fd90,3dd44618,3ec4aef4,bf029cd7,be94d769
26,3ee72489,3e21d3ef,3e791733,bbc8f18b,bf3dd18d,3ebdc7d5,3d74f659,bf0241a1,beede866,bf0e8e7e
27,beb1580d,3e12646d,3dde3907,3e642b31,bed79ac9,3debcd0e,bebe69c6,bec970e6,3e2f412c,3e9a00dc
28,3e22833b,3eded2dd,3cd4b558,bebee5f2,3e1c1aa6,bf4d21ba,be30cf5f,3f024f1a,bf0268e4,bd116b6c
29,3e296024,be8bcdcb,be83a8ec,bf318806,3f006c63,3e74ee9a,be59bf30,3eb49ca9,bde52918,bf1d4ed3
30,be0f9a80,bf038797,3e73f657,bd253a8e,3e8da009,bc255a65,3e213079,3e99c72d,3e30de48,3e318365
31,3da52249,bea044b0,3e7978d0,3db9f3eb,be1d5e2c,bddc3546,3e13fe3e,be931f3a,3e386cd5,3decbfc1
32,3eb4c8d8,bed95875,3cf56a59,3e7f4712,bf07d8ba,3e2be841,beda1c99,3d0edfbd,bd6b3c17,3e22b461
33,bef99853,3f00d2c4,3e57b556,bf2b5895,3bf5b1ce,bf17610f,3eadd464,3c80a6f6,3f1f8a26,bf1a7731
34,beecd410,3ed07cf3,beb373cc,bed7d808,3f1d0606,3f03b111,be88f268,3ee69630,bf2ed0fd,bf03768d
35,3d74dbac,3e74f714,3e802cdd,3e1aa8fa,be99b23e,3e9c3f1b,beaa43b7,3d4a1ea8,3d8afdcd,bed91ce2
36,bf7e80ee,3e9c88c6,3e651bac,3eed8952,3e445c76,bd51157a,bf664a6b,be8cbc97,be97946b,3e7319ae
37,bf2b3945,3efcd4e5,bf142d49,3ecf0745,3ea5b19b,3f00d3d4,bf040547,bea46ae1,bee6324b,be49fd49
38,beb01c1a,bec03926,be13a7a9,3daf2d47,3eac526c,bc56b15c,bf2197f4,3e7751fc,3eb4dd6e,3db97c03
39,bcedf585,bf455578,bd390164,bf169c65,3ea22d39,3dcfa4a5,3e7a8b2d,be1d1907,3d1d52be,3e0c48bd
40,bf623249,bd7720e6,3f02ebaa,3da89392,bf285ed4,3ea1574d,be691b0b,3e7c7a02,bea4e44f,bf0cc785
41,3cc0804b,3f483e00,beaab107,be502625,3e8f1185,bebe3c9b,3e46d739,3ec7704d,bf0b7067,be29da34
42,beb7c672,bf072213,beb89050,bec6be3e,bf010f90,3f241bc3,3efdbc79,bee5287d,3da65237,3e9b6492
43,3dbe24af,bf0aaa20,3e9b1fee,be1a6a28,3ccd5002,3e1fc104,be18bb54,bd4c7d42,3d54cdc8,be22fa72
44,be02dd7e,be185738,3f19a90a,bda4274a,3e654f6d,3e44ccff,bdafa39c,bf3d102f,bed1b7dc,bf2969ac
45,bf0a181a,3e9290a0,be63be6f,bee39149,3ebfe648,3e5f4f73,bef927ca,be1057a8,3ec0a377,be3e4c79
46,3dc497ae,bcdba189,bdf822b8,3ecf3256,beab4fc5,3ecd3490,3e36b22b,bf29894d,be9a6df3,be932234
47,bdbaabe1,be281b0f,bf8702f7,3e9229c3,3ebe052a,3e072159,bd479163,3e0f327c,bdf7ae5e,3e826221
48,be9157b9,becc0b13,bdf11e27,be2004ba,be451b78,bddae688,3e5dbf68,bd98ff7a,be06ab27,3e9d7a0f
49,3d317171,3d753c0d,3eca5792,3ec5ad02,bec596f1,bf0892ec,3c1dec0d,3ec5dcf1,beab897f,3de89793
50,bec521ae,bde840e3,be6ca129,3d76ae19,3e9d9ac8,bee466b8,bea3f8a3,be305e82,3bbc08da,3db67762
51,3e39dd72,beac68c5,3e984eaa,3dd9e334,be82b0c7,be82ec84,3e401f7e,3e33e778,bcd0bc64,3e2cfc58
52,3b22033d,3e2f58ed,bdeb5433,3dd73d96,bce34581,be87fc82,bf0b083a,3e8c97c2,3ea652de,bd36a79c
53,bd6c46f9,bebd3ef7,bd897772,bd987390,3d76c975,3d217df7,3e428af0,bf0b264a,3e9dd60e,be5b6935
54,bf0f1f04,3e176380,3e8371c3,3eccde34,be54dc93,3c15feea,3e018e9c,3f24094d,bf0bff59,bf718868
